"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"20","CAN",2249.71231216898,54002.96694754,121941.008833921,103983.983411621,54342.6652492881,31185.6770219784,17913.8137805965,11303.8051495943,7903.71208436422,5559.44757091431,4060.59888725975,3144.76204568216,2466.0917885272,2015.97655122767,1751.33839694309,2086.05194459518,425911.611976222
"21","CHE",643.273184468156,137934.154009934,33642.9914322241,6668.27024208637,2383.45825841102,951.540479043637,484.28379055388,277.904893790329,170.629308450333,113.509879254497,83.7500851860172,62.6158589884073,50.0637990358407,40.9321210369168,33.4376647741569,38.1323611836661,183578.947368421
"22","CHL",4759.20699028993,82110.6859324502,97271.2354164722,91551.4942416336,70116.4255239938,45946.9592686337,22550.0838194307,11129.65534147,6849.45817438341,4632.89917722488,3326.65761803375,2574.55663053682,2023.93442768032,1673.73760536786,1450.01803234456,1934.86563893483,449901.873838881
"23","CHN",213.49248807254,17033.7765650594,292111.872615452,360820.743195546,222021.568596533,127998.087757832,72624.0862368659,46435.195100514,32940.4720778545,23402.4674268439,17256.4192075651,13356.748591487,10479.361680112,8399.92265925576,6983.59473009413,7141.17789788444,1259218.98682697
"24","CIV",0,56720.2150573207,101119.023800341,113734.685565381,87572.673827095,60927.4080116776,41069.6788356223,28163.4405554318,18927.0072784478,11994.1162169874,8134.88589542681,5778.18571488463,4063.28477102755,3081.57921216502,2406.04324036544,2222.99720282634,545915.225185001
"25","CMR",0,7407.90985027585,23442.4682163031,28328.2208266673,24885.5733536572,16879.9126425749,12114.7186976552,9107.6499308635,6961.30388818138,5333.65425677694,4143.16548597025,3255.41475705342,2609.18620944379,2161.53366435014,1831.02211059414,2160.23522257382,150621.969112941
"26","COG",0,7762.62791312283,28844.5018963749,47562.3159554134,51331.0866882907,52290.5205841887,51332.1373114712,48727.537979401,44150.1617755986,37988.3624406552,32417.6408853292,27646.595593801,23259.5919846325,19545.8284011552,16542.0815341516,16813.2343964135,506214.22534
"27","COL",1027.92089724985,28870.0719824569,70727.3595592888,72751.0446982965,46096.9266777302,26525.2694951842,16539.6323276175,11533.6443206453,9043.86059593621,7251.23885787908,5877.31114744215,4935.05196044738,4103.74889194218,3511.9508063529,3150.49448551632,4541.40541409162,316486.932118077
"28","CRI",325.157629297929,8681.35551249123,12222.3444851039,9930.61363376067,6098.96596502423,3265.35218450121,1877.67268621349,1118.63377589629,711.647706919372,471.921780947369,328.206793260599,253.529237381064,203.118222851224,168.667967267204,145.711026746592,180.689242337683,45983.58785
"29","CUB",720.596401262388,221365.220983701,368194.93704519,262863.385110312,113815.972050293,51658.9150998671,31435.7579631014,19043.174738495,11834.1161044656,7577.32369372547,5032.96267322954,3446.73514960533,2535.35204875034,1898.43909573186,1547.21653154335,1678.13175072666,1104648.23644
"30","CUW",0,24183.7940796846,55959.3656486233,46665.0031162278,19264.2890902619,6986.80358302897,3502.06583627528,2054.85118374629,1287.58374308195,882.250807229727,661.427216330927,519.284517900785,420.814255590004,356.621835082145,325.712671341573,492.35552559467,163562.22311
"31","CYP",0,145245.66129447,306993.904696143,248956.622659374,134448.338482584,81747.8900731916,55166.7770794815,38999.2732457022,27484.0594145627,20266.6307321876,15037.2772991669,11524.1913068661,9156.42092458432,7730.40380831455,6578.64064408833,7691.90833928209,1117028
"32","CZE",123.038037634845,52137.9105191037,203775.085156778,210222.564603577,119744.313733116,58674.9092328712,29161.965486015,16348.8570064968,10617.9125237824,7354.09863163358,5359.66220971926,3967.74496402096,2973.14835470363,2314.61166557341,1883.51717874921,1821.8218277617,726481.161131537
"33","DEU",1565.20034940567,135763.408359912,250013.611179408,203087.86702058,105845.250794244,50891.9737324612,24889.9885439388,14116.6994847675,9321.91997890233,6458.99177638261,4662.46674800928,3483.42209495173,2676.80603164866,2119.02362538256,1757.73813678029,1827.98892702627,818482.356783801
"34","DNK",1445.97890545342,43751.2079141168,35938.9597782061,36173.2059021255,25661.6766880552,11119.5063800285,4092.67457176275,2079.6370845131,1333.01101698907,901.831480914407,644.84896826952,478.196150774176,367.84824686756,286.754963029626,228.535432859525,219.736965213761,164723.610449179
"35","DOM",191.499709610854,57562.9354680796,122619.344178084,107411.137490662,66269.2594644044,37451.8837241994,21189.7324352043,12464.0406657759,7735.30189153421,4888.4245369014,3147.33516803532,2259.44567386668,1667.40101058735,1297.41667957722,1074.49193570628,1345.28320077132,448574.933233
"36","DZA",13960.1155107909,268045.287154899,293731.145581166,167510.570923582,99278.7744528559,61586.7163916984,39236.5724180167,27608.2416286127,20432.47456565,15028.9630645962,11346.2178117478,8985.83227013962,7259.69559319003,6012.07402408507,5234.9295923364,6601.78265663254,1051859.39364
"37","ECU",8.83624105973662,5496.92183669585,24110.8872691293,28597.2626611906,24171.3379883291,16156.2736807635,11659.3928299039,8219.35739583239,5401.62077142951,3783.97990795445,2790.13876254549,2153.01118302234,1781.70463604764,1542.3482769478,1412.71255636878,2255.6331213511,139541.419118571
"38","EGY",3773.00106722089,337852.19975344,444004.902926339,295382.376352877,166350.956068482,92118.0776386957,51082.326596254,31402.907193774,20923.6497223007,14094.984824158,9784.095878342,7142.37746938443,5291.33459313777,4188.22085979658,3398.7346932631,3513.1025396793,1490303.24817714
"39","ERI",0,26479.6334994657,62566.1721919536,47243.0442452164,27100.7556600369,11421.9031468223,5452.61698610164,3048.31033307106,1955.86378810722,1328.59579887432,945.580534443519,698.601899629783,537.61600852275,449.64234073121,381.384702672023,414.760804351507,190024.48194
"40","ESP",50318.7189236062,68911.6576027608,101837.908413999,115269.089875907,116019.963344133,74448.809420031,36722.3089813702,17787.957639927,10303.2674943118,6813.84440029837,4937.76652524112,3803.75541032402,2988.65898711908,2449.02272575161,2080.7966083263,2446.30912857733,617139.835481684
"41","EST",1453.56774166782,57366.1195534721,92899.7779421585,241599.615419601,226278.544113397,131155.160296051,58579.3696307035,32042.5178980822,18568.3710442982,12494.0278922371,9411.7117691916,7383.74401678101,5809.60491653871,4704.91358930517,3943.70020588506,3930.87515300209,907621.621182371
"42","ETH",0,77.1495693516147,186.621584347021,159.925536468825,83.7298623880304,45.1156808245173,25.5545005734664,15.2854358922212,9.76448936305439,6.78731125084093,4.89735893061528,3.50905573767324,2.53937730220403,1.92036600004925,1.60948695569926,1.81318961416862,626.222805
"43","FIN",1658.20900748841,40397.9343884704,55377.7018872231,48274.2042520134,32573.2801557625,18646.834040649,9386.89112299492,5558.58389461786,3933.59776056005,2764.36626589359,1968.98937453534,1483.08066938681,1126.53176581957,888.766843992408,755.638017382239,838.757445736004,225633.366892526
"44","FRA",2181.12029535526,68353.8831262439,48368.6092568153,38231.3950550849,23992.9709424204,11729.7545114855,5937.52802931224,3584.40719223016,2449.65587311439,1697.55906728323,1235.66548283859,946.454229142577,729.648469981847,591.413896867794,509.834232040779,594.84327157505,211134.742931792
"45","GAB",0,12858.2857368734,35361.7026108591,43593.9468230148,41259.5292338942,30471.1999109991,21705.9583977225,16474.9898901934,12650.9707982683,9635.15264882258,7521.56163138583,6005.3645586159,4771.33519661507,3913.99950395102,3417.00854532282,4183.64812346181,253824.65361
"46","GBR",8202.81447983925,153846.658334042,163528.355827614,178963.682315363,93747.6534721572,32934.3437126691,14616.5797118089,8375.42321749439,5276.18958717861,3407.90523616138,2398.01603080185,1756.92020621088,1312.11820573877,1050.58041103192,879.476042984656,970.568530359398,671267.285321456
"47","GEO",3602.69059818797,84883.6090083408,86696.5417435593,36490.0062309381,21924.5040340727,16926.5659222928,13359.9180554059,11339.2070723995,9892.02592554513,8189.15282144598,6899.74860657251,5958.74056173852,4987.07809254067,4529.45929212325,3969.83950943865,5232.3723953983,324881.45987
"48","GHA",9.18518537992663,25341.6987800506,81046.1836725342,93345.2834085874,72795.2984171808,45889.7363486143,31080.070034109,21946.3605761131,15273.8002988356,10871.7876942253,7933.97848659765,6155.93311747126,5114.59712265623,4477.60126008374,4142.43508453454,6983.45111552597,432407.4006025
