"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"21","CHE",0.00670813003435844,0.729934378593374,0.186721431458997,0.0415077148126018,0.0164360354215916,0.00727334156901748,0.00392719068067373,0.00230628634981384,0.00145043141611735,0.000977130880648892,0.000727415070441543,0.00055249493061252,0.00044790467059842,0.000374242759019929,0.000306193731797362,0.000349677620336643,1,1073.47117434061
"22","CHL",0.0201304440671681,0.364973048881403,0.274814796084923,0.133276521836514,0.0793851174487411,0.047645260381977,0.0260181662442918,0.0155465905787871,0.0105058203072555,0.00728891142061821,0.0052549647910945,0.00402646572102503,0.0031744076695466,0.00263012922184849,0.00229741774724686,0.00303193759755881,1,18012.6735985597
"23","CHN",0.000776614505345803,0.0525658538722149,0.237452815188517,0.269484227819967,0.165073392513178,0.0953919666027445,0.0544184320697427,0.0348869243052379,0.0247022060014981,0.0175284158703737,0.0129179808761781,0.00999186224176141,0.00783859034033667,0.00629325779804418,0.00524531544534516,0.00543214454951521,1,586488.771600772
"24","CIV",0,0.103899309710769,0.185228436825652,0.208337632508488,0.160414419285372,0.111605987891307,0.0752308727453141,0.0515894029991337,0.0346702315767687,0.0219706570977623,0.0149013720814803,0.0105844011090303,0.007443069149886,0.00564479441129477,0.00440735691068165,0.00407205569705994,1,757.610379599875
"25","CMR",0,0.0265065236652004,0.178514576352622,0.217625053433856,0.185573367719117,0.115280561550095,0.0806666487176513,0.0572122151732013,0.0395577609510203,0.027708878470819,0.019984053500196,0.0147260894930706,0.0114044458508499,0.00915514471460229,0.00748426382322077,0.00860041658447904,1,3141.31903822917
"26","COG",0,0.0469833102562121,0.149840687976529,0.18112751670431,0.107238152562857,0.0893746084093092,0.0799464657850226,0.0699628747879707,0.0587008342518191,0.0488662143135394,0.0405956221567287,0.0339197919550391,0.0282331701028602,0.0235478883713554,0.0202082889632079,0.0214545734032401,1,680.237835269402
"27","COL",0.00572624138653274,0.160826578640849,0.223306125840774,0.188351348944634,0.116995373168498,0.0736091288864527,0.0507556361409838,0.0382180331212262,0.0304780698646898,0.0241599469533965,0.019488347091047,0.0162391074308197,0.0134621205849411,0.0115980703961594,0.0105331192291673,0.0162527523198302,1,2559.06586188794
"28","CRI",0.00874959072054076,0.216158179018917,0.262969138185443,0.20224059321953,0.124652308275794,0.0692705049944152,0.0404157820486312,0.0239256757587174,0.0151651657703188,0.00990340106459575,0.00683426390412038,0.00528998689911255,0.00423651948772648,0.00351874580704457,0.00302191570512629,0.00364822913996646,1,147.013118223953
"29","CUB",0.000830432638012739,0.217644188029549,0.335007911547767,0.22800553259679,0.0988088790203701,0.0450713985502581,0.0273223864109846,0.0165216617992356,0.0102399947748247,0.00654405435587555,0.00435100726206588,0.00298794541636862,0.00220023054818451,0.00165299144259772,0.00134547841817124,0.00146590718894421,1,7738.17281442362
"30","CUW",0,0.147856843835024,0.342128913294295,0.285304284992778,0.117779574794029,0.0427164870358246,0.0214112144582435,0.0125631160097668,0.0078721340331503,0.00539397661913894,0.00404388741944464,0.00317484384857958,0.00257280836362193,0.00218034353105061,0.00199136857611994,0.00301020318893286,1,228.33064345262
"31","CYP",0,0.130028666510124,0.274830984269099,0.222874111176599,0.120362549983155,0.0731833849045786,0.0493871031697339,0.0349134249505851,0.0246046289032707,0.0181433506878857,0.013461862459282,0.0103168329772093,0.00819712748882242,0.00692051032589563,0.00588941427080461,0.00688604792295456,1,852.455525393259
"32","CZE",0.000280043324658022,0.0697234497464318,0.266275343103474,0.288703595362734,0.17267471504376,0.0847078742153079,0.0418217630176361,0.0235040914587425,0.0153109224191669,0.0106215467823355,0.00776883757618953,0.00574698541574213,0.00427901285117975,0.00332886431840729,0.00269065369755603,0.00256230166667778,1,11763.0393555095
"33","DEU",0.00615088861080108,0.201075032403711,0.293554363683697,0.209811978062484,0.119155435572006,0.0638635722217667,0.0343250120893227,0.0209103124718352,0.0141498202817287,0.00985179230113225,0.00721224959705259,0.00554853201928763,0.00434969600297247,0.00354240599423237,0.00300847537049119,0.00349043331747875,1,131049.006091527
"34","DNK",0.0197894489447648,0.296373718556558,0.262815789069092,0.185134828881694,0.114183254865404,0.0542571158191451,0.0242438277345127,0.0135417301498408,0.00884273590275307,0.00590724820005914,0.00417900296806387,0.00309671610834807,0.00234559258353572,0.00187069690369663,0.00157132935331894,0.00184696395921256,1,5926.7357894681
"35","DOM",0.000562501443382687,0.161057085155855,0.295541637413486,0.229487463922756,0.127261437720875,0.0707234978183244,0.0406909783796097,0.0248060111499521,0.0157166604873478,0.010078094506302,0.00666648956151995,0.00483865429899569,0.00368969502567871,0.00296053604214481,0.00250772400817566,0.00341153306559566,1,3407.4691728015
"36","DZA",0.0132718456432484,0.254829959950558,0.279249439000301,0.159251865730747,0.0943840736253711,0.0585503316926944,0.0373021077296625,0.0262470837790148,0.0194251006258,0.0142879962430985,0.0107868198737892,0.00854280745551343,0.00690177378942976,0.00571566319646589,0.00497683399890619,0.00627629766540072,1,21854.7023771878
"37","ECU",5.54953521922096e-05,0.0372502045244247,0.172759122279278,0.206605767285646,0.175038272763222,0.116561264703303,0.0840094781969078,0.0590918837354416,0.0386304577711852,0.0269117749854444,0.0197220994335949,0.0151134002192523,0.0124307149544194,0.0107073813228507,0.00975811981646463,0.0153545626563723,1,1833.36235567055
"38","EGY",0.00283294332365759,0.232102828504863,0.29181347916433,0.193270194288341,0.110938168222383,0.0630988155896199,0.0354001567545828,0.0219771981787638,0.014748057355702,0.00996513796648808,0.00695923059285736,0.00510450247445063,0.00379396659432198,0.00301579589373493,0.00244964496104366,0.00252988013485978,1,51274.0805340358
"39","ERI",0,0.139348536720793,0.329253218075915,0.248615566599115,0.142617179551601,0.0601075347250718,0.0286942868120714,0.0160416715885775,0.0102926936999875,0.00699170856991899,0.00497609847315402,0.00367637839344493,0.00282919339147311,0.00236623374073023,0.00200702929842716,0.00218267035971958,1,703.390106459628
"40","ESP",0.173145352312456,0.163102521656514,0.168479085489569,0.128362075085495,0.126018373973478,0.0910754765772367,0.0552437857460021,0.0298305864911946,0.0177565209767174,0.0118240929665516,0.00873134373619065,0.00691778645305729,0.00560240093892764,0.00471079156133765,0.00410080381967927,0.00509900221559362,1,38377.8643462822
"41","EST",0.00502097677906976,0.213674093566614,0.196693825977677,0.20596988661461,0.165520501235043,0.09424884351025,0.0436881072681735,0.0246204406094142,0.014817836451953,0.0097699435746514,0.00710723083151944,0.00549560042468771,0.00424014292539144,0.00340287302195322,0.0028621952804295,0.00286750192856362,1,2767.03839567992
"42","ETH",0,0.123198275015894,0.298011479072565,0.255381208081084,0.133706185273835,0.072044135832002,0.0408073618038653,0.0244089416261695,0.0155926760972149,0.0108384926205952,0.0078204736261805,0.00560352594900028,0.00405506998775625,0.00306658586163953,0.00257015066019395,0.00289543849200545,1,6.95403435882768
"43","FIN",0.0103328050598687,0.213050084546837,0.25877708056708,0.203091214634367,0.131433086817271,0.0733782281035989,0.036743236727273,0.0215176329504998,0.0148189562986516,0.0102591531571287,0.00735581883258696,0.00549510967256433,0.00417037170314309,0.00332188462805732,0.0028627302349899,0.00339260606608253,1,10000.5881671197
"44","FRA",0.00833014414097467,0.370576281358737,0.234379034387494,0.15469023163298,0.0929481246294132,0.0497039175970007,0.0275385366648169,0.0172329596014993,0.0120253222847145,0.00850835831759373,0.00627056914410546,0.00488405454855026,0.00383204559830736,0.00312479241197509,0.00270971986837393,0.00324590781346414,1,9363.5584225331
"45","GAB",0,0.0198780443056774,0.157253633686646,0.203176767849869,0.206168470379185,0.128200648783377,0.0835791300957692,0.0618679330162564,0.0425117437517624,0.0293240620744322,0.0205828903338779,0.0145528813460321,0.0106227914974412,0.00811450393292199,0.00669519909818951,0.00747129984856332,1,451.958833057274
"46","GBR",0.0139113077042292,0.190476251674749,0.26190297210646,0.262639516143593,0.143438674165598,0.0574778344694016,0.0254130864656369,0.0145067810344518,0.00919584105081848,0.00605328981377895,0.00431415439053828,0.00317025823387109,0.00236984410008252,0.00187238154055134,0.00155947852918308,0.00169832857705673,1,60192.7327130827
"47","GEO",0.0110892465197293,0.26127563278713,0.266855922705625,0.112317908955283,0.0674846266784375,0.0521007444655843,0.0411224391221087,0.0349025982490253,0.0304481084562455,0.0252065871186458,0.0212377419423485,0.018341276119982,0.0153504545766823,0.0139418829684393,0.0122193476692304,0.0161054816655035,1,439.038986083055
"48","GHA",3.75517161578671e-06,0.0169572894125551,0.194903873697919,0.239367806248819,0.187927214172902,0.108315890307133,0.076285383108558,0.0557061576540789,0.0376478331176248,0.025703590840656,0.0170827511243703,0.0120268778533575,0.00888201737030089,0.00685081702405272,0.0055681091759494,0.00677063372010686,1,6789.04740849461
