"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"11","BGD",0.00120187213196649,1.52918320083949,2.6232121892085,2.01854541650768,1.18587736086773,0.695795551618488,0.455929806260237,0.322527641338545,0.238983934859628,0.178769060716549,0.138436434946725,0.110267567257989,0.0889339383271345,0.0745846477230824,0.0643350370151237,0.0838327858356868,9.81041644545455
"12","BGR",0.0150744658014864,0.526793651015293,2.09526584045731,3.3329521964399,4.44809826840151,3.61253762484353,1.68507691636096,0.750887518742929,0.445874095418842,0.297251888912775,0.22019469803434,0.165477728642989,0.129491127314671,0.102195626526906,0.0870918779195834,0.0869446600027224,18.0012081848358
"13","BHR",0.049459195741926,5.12107139812845,5.76993760404728,3.2802979979238,1.74043019240621,1.11331659282122,0.718787027261797,0.530455310203298,0.425000861163038,0.334321997952653,0.268822185086513,0.223050887419499,0.176750635164422,0.150353769628476,0.128998164255814,0.1546384807956,20.1856923
"14","BIH",0,0,1.88448814861552,3.31573843673242,3.07875992771543,2.08478360804966,1.16277329635001,0.632579181251177,0.423887464376914,0.325893192171313,0.254321651356779,0.207215061573729,0.170580606603008,0.142719645965931,0.119863934763864,0.131046374474271,13.93465053
"15","BLR",0.0510028339622779,3.37285862282499,4.84140224441614,5.34770259709562,4.43360536791429,2.34050726963775,1.19709472378533,0.711807636620669,0.473410609454395,0.326230684400958,0.234243319620801,0.175852587685974,0.135706531072596,0.111068660872986,0.0963388626901044,0.114217464611786,23.9630500166667
"16","BOL",0.0926929746399886,1.30397781642174,1.49314234214289,1.0230417156053,0.640885008855104,0.452195466461789,0.307608251696454,0.223816681547986,0.168781450007706,0.123195285229754,0.0963942504867617,0.0798971051870506,0.0686361769531228,0.0606401339302607,0.0568324047207997,0.0914514761133041,6.28318854
"17","BRA",0.0108120733766222,4.16497077350762,3.39266585383603,1.28303637537547,0.647042369276914,0.341122668521274,0.188860215726336,0.117714409266508,0.0777028771943098,0.0532863563250649,0.0393084638034591,0.0304091847221923,0.024343112535102,0.0205381818690439,0.0183861648632726,0.0280557808534165,10.4382548610526
"18","BRN",0.000123688326195274,0.220666501744441,0.569996838307176,0.926407482050778,1.02028363561794,0.960731439291647,0.86135324595585,0.776894418856113,0.677841664936999,0.544624591934341,0.426186540988798,0.329016134963291,0.250179530774185,0.197710025269177,0.163456596162039,0.188352081487692,8.11382441666666
"19","BWA",0,0.00804924304211526,1.32074116486413,1.65412314939759,0.856657587320538,0.489200316194708,0.249659481618144,0.12748501090985,0.0766748844622452,0.0489295075829309,0.0322571239664358,0.0234945679544904,0.0171987893051856,0.0131624001850803,0.0106285928006081,0.0105121026181767,4.93877392222222
"20","CAN",0.269501124152799,5.33070300131302,5.25687342102824,3.03053541328804,1.51303928455576,0.818131395524705,0.449915701556903,0.2789687026503,0.187521577000394,0.130151443378468,0.095240005188776,0.0735632131847578,0.058058940058852,0.0484240402776078,0.0425704345950238,0.057343960024135,17.6405416577778
"21","CHE",0.212137072814545,47.7346712306235,11.6123576826783,2.28911188062964,0.81309040781973,0.322238971369063,0.163295090215339,0.0935338874443219,0.0573063785940606,0.038070141278728,0.0280844164067932,0.0209654385368295,0.0167421766443212,0.0136649139734655,0.011165925963239,0.0127375039730841,63.4391731189649
"22","CHL",1.02737241404085,21.0840237016569,14.0067495035524,5.07635796885453,2.50663384189147,1.39117498486821,0.747263139523353,0.43693239918498,0.28098038693715,0.191962690184665,0.137574734273585,0.103718337519574,0.0803197808734442,0.0663352815975259,0.0584178326847278,0.0693517120679525,47.2651687097113
"23","CHN",0.0284676558048919,2.94861310628368,4.5435801310525,4.3350084221763,2.59290125625806,1.4806949748531,0.838048076630745,0.533925830818741,0.375787858722007,0.265535777615718,0.195031825482273,0.150359490143643,0.117722441426015,0.0943328075808692,0.0785180919835934,0.0811385552887573,18.6596663021209
"24","CIV",0,1.01105552686846,1.80247814260858,2.02735624893727,1.56101022864697,1.08605005368409,0.732079836642108,0.502022113287555,0.337379808884987,0.213798863047903,0.14500687870636,0.102997962832168,0.0724293185566408,0.0549301107337792,0.0428884713077619,0.0396256185887048,9.73110918333334
"25","CMR",0,0.162048580976037,0.677542091790925,0.822068675933917,0.712409165445266,0.464786116983667,0.329973320774606,0.242094869196209,0.177780024410331,0.131687054798457,0.0996130964454112,0.0765701237105864,0.060676782113848,0.049757133643602,0.0416772118152299,0.0487711637266124,4.0974554117647
