"","ISO3","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT","emis_ty"
"21","CHE",0.00249505807210375,0.75767489391741,0.182318524199595,0.0347805865435285,0.0119606793818232,0.00456147469731688,0.00224334631753478,0.00127908171077535,0.000774823894004429,0.000513746254105016,0.000383092300193414,0.000284760387980225,0.000226052028464908,0.000182144235553637,0.000150180851550967,0.000171555208060291,1,1877.39959929428
"22","CHL",0.00617008826955538,0.106821751333808,0.195676972173637,0.233463704353357,0.18655942603846,0.123264991227041,0.0594935000311184,0.0283049976008471,0.0169955919888558,0.0114178141345346,0.00818571980935148,0.00633085724612628,0.00496828403434959,0.00410095618956797,0.00354089219281871,0.00470445337657263,1,65744.6445876817
"23","CHN",0.000134770436669292,0.00970390881379936,0.231815527899345,0.288061582559289,0.177297076964762,0.102196557465726,0.0579846308558436,0.0370704072250264,0.026293910742399,0.0186792149217541,0.0137723949534125,0.0106595157691631,0.00836272035543831,0.00670254625553047,0.00557154839950627,0.00569368638233556,1,5272932.91019
"24","CIV",0,0.103899309710769,0.185228436825651,0.208337632508488,0.160414419285372,0.111605987891307,0.0752308727453141,0.0515894029991337,0.0346702315767687,0.0219706570977623,0.0149013720814803,0.0105844011090303,0.007443069149886,0.00564479441129477,0.00440735691068166,0.00407205569705994,1,2067.20904046522
"25","CMR",0,0.02459865866077,0.180439368996275,0.220111319005977,0.187285950701231,0.1155508523808,0.0806864514929153,0.0569383711566457,0.0389974657846439,0.027060853965099,0.0193510890660061,0.0141466309541163,0.0109064959013188,0.00871800297239378,0.00709116214747451,0.0081173268143333,1,13437.4726931258
"26","COG",0,0.0555262931065401,0.174906543574746,0.204657662907997,0.108813542960232,0.0856164500039285,0.0741543946385587,0.0628647805891477,0.0510035797416261,0.041799978828034,0.0342674025068362,0.0283336486985605,0.0234513371254273,0.0194816631081414,0.0168423071649286,0.0182804150452964,1,2484.10607842693
"27","COL",0.0022805263990715,0.0640506107767984,0.223542861218005,0.246077089372936,0.156837600377225,0.0877939660862374,0.0528473188486051,0.0357497493005397,0.0278332455783419,0.0224243988869956,0.0182121895076963,0.0153411136882833,0.012773133902671,0.0109009541495425,0.00972875511078466,0.0136064867962662,1,11370.2601686532
"28","CRI",0.00320624301462139,0.125777190598075,0.272311963885415,0.247551679222058,0.15101200122918,0.075019691356743,0.0417955165328486,0.0252504896130603,0.0161921707524943,0.0110904933913915,0.00783568846390766,0.00602809445585475,0.00483322034609704,0.00401170120187832,0.00350690514392259,0.00457695079245317,1,371.952463336146
"29","CUB",0.000263918769477867,0.1770849241212,0.333924304614189,0.252309896827956,0.108272640537222,0.04813571621111,0.0295102348182478,0.0178856702801111,0.0110649234360126,0.0070388480494641,0.00461596004107613,0.00311035367663221,0.0022715842478231,0.0016827445873309,0.00136662912889923,0.00146165065324834,1,35801.6085595118
"30","CUW",0,0.147856843835024,0.342128913294295,0.285304284992778,0.117779574794029,0.0427164870358246,0.0214112144582435,0.0125631160097668,0.0078721340331503,0.00539397661913894,0.00404388741944464,0.00317484384857958,0.00257280836362193,0.00218034353105061,0.00199136857611994,0.00301020318893286,1,1291.48339120678
"31","CYP",0,0.12695323691954,0.271974937844789,0.223375892078108,0.121651508884792,0.0744940726948557,0.0505067513945526,0.0355155276508784,0.024987394174379,0.0183719082887353,0.0136679981825248,0.0105392976031652,0.00830354274170788,0.00694781182871878,0.00584924713390588,0.00686087257934705,1,3611
"32","CZE",0.00013591615781704,0.0704028858916202,0.276091603016961,0.289284026430866,0.167537141366102,0.0822658511407566,0.0407794278369601,0.0227918467480713,0.0148101740629207,0.0102581253819194,0.00748052621074315,0.00555854897316463,0.00416156237958987,0.00324609273905268,0.00263841227504247,0.00255785938841246,1,40229.05627354
"33","DEU",0.00141561035510916,0.167379393485848,0.308996602999623,0.249529632656427,0.128014821404429,0.0608505694524348,0.0295310580577959,0.0166072843745627,0.0109362632431284,0.00758050206072045,0.00545511712699809,0.00405532908060459,0.00309943539452392,0.00244444418781325,0.00201862238359123,0.00208531373639161,1,183444.098318422
"34","DNK",0.0157220189043926,0.416206368065879,0.235088535232068,0.149011177966846,0.0937288426396273,0.0428155957179543,0.0175926960214827,0.0095331147213924,0.00619304101951412,0.00410117473103768,0.00290296729064649,0.00212495032805156,0.00161194873750949,0.00126333436418833,0.00103099287516679,0.00107324138424381,1,5652.12793
"35","DOM",0.000236161622901372,0.136175105876085,0.292522147104267,0.245432274918378,0.142009605046483,0.0768205554508014,0.0420707281988419,0.0238393384150512,0.0142134246368984,0.0087107793741577,0.00544758600076743,0.00383595198138349,0.00277984969767122,0.00212990788733696,0.00172252161806951,0.00205406217090521,1,18105.0130870517
"36","DZA",0.0132718456432484,0.254829959950558,0.279249439000301,0.159251865730747,0.0943840736253711,0.0585503316926944,0.0373021077296625,0.0262470837790148,0.0194251006258,0.0142879962430985,0.0107868198737892,0.00854280745551343,0.00690177378942976,0.00571566319646589,0.00497683399890619,0.00627629766540072,1,44809.4847094868
"37","ECU",2.2136700111202e-05,0.0281198882690988,0.172642031450496,0.213715151605484,0.18278749409309,0.119885419063873,0.0859459048955514,0.0598983468222906,0.0382923373480612,0.0260361504380742,0.0185589109101847,0.0137676865902326,0.0109921893203993,0.00923465048600093,0.00819909957302626,0.0119026024340258,1,8132.91870541941
"38","EGY",0.00232200909407156,0.222939682254036,0.302186323302273,0.201636431683099,0.112098377824214,0.0609156433421457,0.0334942782033157,0.0204410359561933,0.0135468945405178,0.00910464314156913,0.00629087184221032,0.00457543226260247,0.00338104098468165,0.00266728179754317,0.00216287223275185,0.00223718153877568,1,128261.674095767
"39","ERI",0,0.139348536720793,0.329253218075915,0.248615566599115,0.142617179551601,0.0601075347250718,0.0286942868120714,0.0160416715885775,0.0102926936999875,0.006991708569919,0.00497609847315403,0.00367637839344493,0.00282919339147311,0.00236623374073023,0.00200702929842716,0.00218267035971958,1,3306.44902600843
"40","ESP",0.153858392792708,0.152696038554661,0.197800257602685,0.174310681871578,0.132381846269854,0.0794466258794871,0.0421861184779833,0.0221654705910998,0.0132192244504675,0.00878966092888492,0.00624765884096919,0.00471099983504222,0.00364667785429535,0.00298120802266373,0.00249856406134798,0.00306057396627311,1,106449.928816685
"41","EST",0.00192593369794835,0.0717951997713231,0.107711014928744,0.264465237131663,0.24522032178958,0.14102961190435,0.0627362469555898,0.0344164971538322,0.0200034912481543,0.01344785973465,0.0100631590552893,0.00785039021933789,0.00614463406817976,0.00495592786091324,0.00413551565402888,0.0040989588264168,1,7991.70799017855
"42","ETH",0,0.123198275015894,0.298011479072565,0.255381208081084,0.133706185273835,0.072044135832002,0.0408073618038653,0.0244089416261695,0.0155926760972149,0.0108384926205952,0.0078204736261805,0.00560352594900028,0.00405506998775625,0.00306658586163953,0.00257015066019396,0.00289543849200545,1,32.6890582074097
"43","FIN",0.00569412959554028,0.15482545065108,0.238033897071736,0.222466068778172,0.154151330687448,0.0888643666848928,0.0445962139001081,0.0263865044656622,0.018764649933355,0.0131378203742131,0.00928953011623866,0.00701869971847865,0.0052454864107777,0.00412718721329704,0.00351804460048104,0.00388061979851987,1,20608.794
"44","FRA",0.00534455348799717,0.274692907018465,0.232076971310416,0.205299639774216,0.129617104679939,0.0603873437255132,0.0300142287358039,0.0182562196753927,0.0124584465637009,0.00869231240246495,0.00629443897507079,0.00476903528273962,0.00365412555375306,0.00291790613133559,0.00248628125976752,0.00303848542342375,1,19001.3281124689
"45","GAB",0,0.0139972112213059,0.160680890577179,0.209181482440287,0.214501947621719,0.129758246924131,0.0832091558411367,0.0612872953249068,0.0411113466309398,0.0276741068173587,0.0188537984210203,0.0128129744108556,0.00906088517415075,0.00671870129029967,0.00540232105337423,0.00574963625133631,1,1759.76724923002
"46","GBR",0.00984151579329517,0.227518352990162,0.2443553423553,0.269283960324153,0.140797189029553,0.0502924432739121,0.0216228996347109,0.0122142044301314,0.00754325784816267,0.00489066108416144,0.00345349917868959,0.00248810004463518,0.00182137410774719,0.00143024798033837,0.00117931258205535,0.00126763934299233,1,69486.8283505217
"47","GEO",0.0110892465197293,0.26127563278713,0.266855922705625,0.112317908955283,0.0674846266784375,0.0521007444655843,0.0411224391221087,0.0349025982490253,0.0304481084562455,0.0252065871186458,0.0212377419423485,0.018341276119982,0.0153504545766823,0.0139418829684393,0.0122193476692304,0.0161054816655035,1,1693.42107062295
"48","GHA",2.38281513438759e-06,0.0136887109492728,0.1954904083716,0.241211632129697,0.189463713997192,0.108487739514956,0.0766313650398279,0.0560948089582576,0.0378303079461057,0.0257476277991251,0.0169834245362554,0.0118534739808802,0.00865080296721955,0.00657580614419692,0.0052532627570791,0.0060345320931999,1,29193.5400041408
"49","GIB",0,0.134466473362861,0.364326837844803,0.321091404653355,0.111273714219791,0.0317985774830027,0.0175009742728643,0.00931515523354613,0.00461419195595427,0.00243438254166442,0.00116041820729591,0.000711782796132518,0.000464482008289695,0.000371455807014467,0.000274117349653707,0.0001960322637717,1,288.098523120026
"50","GNQ",0,0.0128718484703987,0.121313588998918,0.173137212587778,0.181076533463076,0.131832554079392,0.0976825892419929,0.0706327239100014,0.0518440258550057,0.0390466781608292,0.0291326571185714,0.0226500389080304,0.0185013939294815,0.0153863217991169,0.013293291470515,0.0215985420068925,1,1444.99679551956
