"ID","ISO3","fuel","longitude","latitude","co2_emis_ty","nox_emis_ty","sox_emis_ty","co_emis_ty","ch4_emis_ty","ID_MonthFact","ID_WeekFact","ID_HourFact","ID_VertProf"
"CoCO2_02890","CHN","coal",86.5936,46.6088,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04168"
"CoCO2_02891","CHN","coal",86.5936,46.6088,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04168"
"CoCO2_02892","CHN","coal",130.22467,47.235641,233890.662628741,262.626696537355,179.480974160744,25.4332310165491,2.47241715252369,"FM_040","FW_281","FH_266","VP_04170"
"CoCO2_02893","CHN","coal",117.905724,35.3188721,3040578.61417363,3414.14705498562,2333.25266408968,330.632003215138,32.1414229828079,"FM_040","FW_281","FH_266","VP_03953"
"CoCO2_02894","CHN","coal",130.254968,47.299173,233890.662628741,262.626696537355,179.480974160744,25.4332310165491,2.47241715252369,"FM_040","FW_281","FH_266","VP_04170"
"CoCO2_02895","CHN","coal",130.254968,47.299173,233890.662628741,262.626696537355,179.480974160744,25.4332310165491,2.47241715252369,"FM_040","FW_281","FH_266","VP_04170"
"CoCO2_02896","CHN","coal",124.0502436,47.3791203,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04175"
"CoCO2_02897","CHN","coal",124.0502436,47.3791203,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04175"
"CoCO2_02898","CHN","coal",110.655833,35.613056,1637234.63840119,1838.38687576149,1256.36681912521,178.032617115844,17.3069200676658,"FM_040","FW_281","FH_266","VP_04204"
"CoCO2_02899","CHN","coal",110.655833,35.613056,1637234.63840119,1838.38687576149,1256.36681912521,178.032617115844,17.3069200676658,"FM_040","FW_281","FH_266","VP_04204"
"CoCO2_02900","CHN","coal",110.655833,35.613056,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04204"
"CoCO2_02901","CHN","coal",110.655833,35.613056,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04204"
"CoCO2_02902","CHN","coal",113.258971,34.818298,584726.656571852,656.566741343388,448.702435401861,63.5830775413728,6.18104288130922,"FM_040","FW_281","FH_266","VP_04222"
"CoCO2_02903","CHN","coal",113.258971,34.818298,584726.656571852,656.566741343388,448.702435401861,63.5830775413728,6.18104288130922,"FM_040","FW_281","FH_266","VP_04222"
"CoCO2_02904","CHN","coal",114.2402239,35.7854506,631504.7890976,709.092080650859,484.59863023401,68.6697237446826,6.67552631181395,"FM_040","FW_281","FH_266","VP_04225"
"CoCO2_02905","CHN","coal",114.2402239,35.7854506,631504.7890976,709.092080650859,484.59863023401,68.6697237446826,6.67552631181395,"FM_040","FW_281","FH_266","VP_04225"
"CoCO2_02906","CHN","coal",114.18552,35.721358,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04226"
"CoCO2_02907","CHN","coal",114.18552,35.721358,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04226"
"CoCO2_02908","CHN","coal",113.83293,35.43126,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04228"
"CoCO2_02909","CHN","coal",113.83293,35.43126,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04228"
"CoCO2_02910","CHN","coal",113.866721,34.003754,982340.783040711,1103.03212545689,753.820091475127,106.819570269506,10.3841520405995,"FM_040","FW_281","FH_266","VP_04230"
"CoCO2_02911","CHN","coal",113.866721,34.003754,982340.783040711,1103.03212545689,753.820091475127,106.819570269506,10.3841520405995,"FM_040","FW_281","FH_266","VP_04230"
"CoCO2_02912","CHN","coal",116.54843,33.92948,2806687.95154489,3151.52035844826,2153.77168992893,305.198772198589,29.6690058302842,"FM_040","FW_281","FH_266","VP_04231"
"CoCO2_02913","CHN","coal",112.0634119,34.7413202,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04232"
"CoCO2_02914","CHN","coal",112.0634119,34.7413202,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04232"
"CoCO2_02915","CHN","coal",113.59801,34.50003,1496900.24082394,1680.81085783907,1148.67823462876,162.772678505914,15.8234697761516,"FM_040","FW_281","FH_266","VP_04233"
"CoCO2_02916","CHN","coal",113.59801,34.50003,1496900.24082394,1680.81085783907,1148.67823462876,162.772678505914,15.8234697761516,"FM_040","FW_281","FH_266","VP_04233"
"CoCO2_02917","CHN","coal",113.59801,34.50003,4818147.65015206,5410.10994866952,3697.30806771133,523.924558940912,50.931793341988,"FM_040","FW_281","FH_266","VP_04233"
"CoCO2_02918","CHN","coal",113.59801,34.50003,4818147.65015206,5410.10994866952,3697.30806771133,523.924558940912,50.931793341988,"FM_040","FW_281","FH_266","VP_04233"
"CoCO2_02919","CHN","coal",113.8510899,35.2445824,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04235"
"CoCO2_02920","CHN","coal",113.8510899,35.2445824,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04235"
"CoCO2_02921","CHN","coal",116.415988,33.95412,1473511.17456107,1654.54818818534,1130.73013721269,160.229355404259,15.5762280608992,"FM_040","FW_281","FH_266","VP_04236"
"CoCO2_02922","CHN","coal",116.415988,33.95412,1473511.17456107,1654.54818818534,1130.73013721269,160.229355404259,15.5762280608992,"FM_040","FW_281","FH_266","VP_04236"
"CoCO2_02923","CHN","coal",113.079026,34.796738,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04237"
"CoCO2_02924","CHN","coal",113.079026,34.796738,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04237"
"CoCO2_02925","CHN","coal",113.079026,34.796738,1403343.97577244,1575.76017922413,1076.88584496447,152.599386099295,14.8345029151421,"FM_040","FW_281","FH_266","VP_04237"
"CoCO2_02926","CHN","coal",112.931357,34.693945,467781.325257482,525.253393074711,358.961948321489,50.8664620330982,4.94483430504737,"FM_040","FW_281","FH_266","VP_04238"
"CoCO2_02927","CHN","coal",112.931357,34.693945,467781.325257482,525.253393074711,358.961948321489,50.8664620330982,4.94483430504737,"FM_040","FW_281","FH_266","VP_04238"
"CoCO2_02928","CHN","coal",115.6012217,37.7526565,1543678.37334969,1733.33619714655,1184.57442946091,167.859324709224,16.3179532066563,"FM_040","FW_281","FH_266","VP_04242"
"CoCO2_02929","CHN","coal",115.6012217,37.7526565,1543678.37334969,1733.33619714655,1184.57442946091,167.859324709224,16.3179532066563,"FM_040","FW_281","FH_266","VP_04242"
"CoCO2_02930","CHN","coal",89.1977,44.7896,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04243"
"CoCO2_02931","CHN","coal",89.1977,44.7896,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_04243"
"CoCO2_02932","CHN","coal",120.12377,31.7651111,257279.728891615,288.889366191091,197.429071576819,27.976554118204,2.71965886777606,"FM_040","FW_281","FH_266","VP_04244"
"CoCO2_02933","CHN","coal",120.12377,31.7651111,280668.795154489,315.152035844826,215.377168992893,30.5198772198589,2.96690058302842,"FM_040","FW_281","FH_266","VP_04244"
"CoCO2_02934","CHN","coal",115.6012217,37.7526565,1543678.37334969,1733.33619714655,1184.57442946091,167.859324709224,16.3179532066563,"FM_040","FW_281","FH_266","VP_04245"
"CoCO2_02935","CHN","coal",118.3686601,33.8399837,631504.7890976,709.092080650859,484.59863023401,68.6697237446826,6.67552631181395,"FM_040","FW_281","FH_266","VP_03973"
"CoCO2_02936","CHN","coal",118.324205,34.626771,280668.795154489,315.152035844826,215.377168992893,30.5198772198589,2.96690058302842,"FM_040","FW_281","FH_266","VP_04247"
"CoCO2_02937","CHN","coal",114.8433969,38.5122064,3087356.74669938,3466.67239429309,2369.14885892183,335.718649418448,32.6359064133127,"FM_040","FW_281","FH_266","VP_02663"
