"ID_VertProf","r0_100","r100_200","r200_300","r300_400","r400_500","r500_600","r600_700","r700_800","r800_900","r900_1000","r1000_1100","r1100_1200","r1200_1300","r1300_1400","r1400_1500","r1500","rTOT"
"VP_00016",0,0.122965762825122,0.296918427965251,0.253951159683289,0.135775657100382,0.062780536968423,0.0382904742834059,0.0265496994895934,0.0183362935277168,0.0132315619819919,0.00918850921050672,0.00661747297791779,0.00492701121961923,0.00387587792875766,0.0033129428909678,0.00327861194705482,1
"VP_00017",0,0.131895687083072,0.29857934321177,0.243654621363379,0.128721958062926,0.0611495074523185,0.0370360871197107,0.0246093088294553,0.0176518483774509,0.013398607534824,0.0104336305456048,0.00826243860475584,0.00664688859246825,0.00543832663229695,0.00510381983422919,0.00741792675573915,1
"VP_00018",0,0.122595733176039,0.312115988141235,0.253527030013973,0.137273163586352,0.0683272494835903,0.0379798231649979,0.0207350351486798,0.0149214989549548,0.0109180241729339,0.00786547472917572,0.00495649307458557,0.00299339572054265,0.00220577598101006,0.00199309910850629,0.00159221554342388,1
"VP_00019",0.000158969446038697,0.340954206206241,0.34977564185994,0.139230705919791,0.0676447534208727,0.0366658403458254,0.0207694197247773,0.013540771225551,0.00881401051939243,0.00597609280079455,0.00409150463132857,0.00309773202773017,0.00246126321978717,0.00210223292312343,0.00196921362310211,0.0027476421057037,1
"VP_00020",0.059759574600151,0.197226798867135,0.209180486165117,0.161578015335399,0.117954677697205,0.0823366825908282,0.0541539345161098,0.034018775534668,0.0236987473508103,0.0163956458858632,0.011514164186371,0.00887528530893818,0.00695491866375832,0.00567664489494858,0.00531357843542161,0.00536206996727589,1
"VP_00021",0,0.0890785474493663,0.271165347309932,0.246900041552298,0.161333061619903,0.0847720301880489,0.0461011869920937,0.0283658070051539,0.018127651962514,0.0130771542822071,0.0101616108529729,0.00790907915147907,0.00613994450698269,0.00518444745539033,0.00459625593499554,0.00708783373666327,1
"VP_00022",0.0165830148897629,0.483727938735511,0.311827753439223,0.10948376841047,0.0422529791097647,0.0175389183555005,0.00777708078089295,0.0041182943246512,0.00238152543277365,0.00140400113927691,0.00103909549701995,0.000775267537557849,0.000447522910256685,0.000325958234677085,0.000184729726534558,0.000132151476126794,1
"VP_00023",0,0.234269840122818,0.451421291827371,0.212998123999176,0.0577149019536147,0.0224760261789067,0.0101426113335919,0.00465515576173826,0.00248850101033057,0.0015109194697515,0.000919833049376903,0.000575004097099866,0.000362048994457188,0.000225479086067214,0.000125536643661215,0.000114726472038502,1
"VP_00024",0.0119570542027626,0.348282436283878,0.310367994211009,0.157654164959692,0.0759238677364116,0.0368687894218891,0.0191852713647883,0.0120365484041294,0.00825571747391848,0.00551555724312384,0.00379566760952317,0.00281563015989263,0.00221433606218232,0.00174300585206674,0.00150529276486112,0.00187866624987135,1
"VP_00025",0.00758833017109368,0.272027484763794,0.301014666441752,0.137925918273754,0.0872127797563607,0.0572210807013815,0.0357227169483084,0.0246799339187032,0.0184508772211048,0.0137236534114293,0.0106412528281319,0.00835832100236917,0.0067961469264237,0.00574250340922941,0.00522449186945018,0.00766984235671426,1
